"","family","mean","sd","n"
"1","Alopiidae",11.3966,NA,1
"2","Brachaeluridae",1.39284,NA,1
"3","Carcharhinidae",10.6778714285714,11.8093016102723,7
"4","Centrophoridae",2.695,NA,1
"5","Chimaeridae",7.24439963,NA,1
"6","Dasyatidae",17.5772805,16.825295438457,2
"7","Hemiscyllidae",2.160222222,NA,1
"8","Hexanchidae",5.695116167,NA,1
"9","Lamnidae",25.588,NA,1
"10","Myliobatidae",7.62992391933333,4.39878211869199,3
"11","Odontaspidae",14.254,NA,1
"12","Pseudocarchariidae",4.8,NA,1
"13","Pseudotriakidae",2.78195,NA,1
"14","Rajidae",1.19152184575,0.374849531328101,4
"15","Rhinobatidae",13.6265,NA,1
"16","Rhinochimaeridae",2.6610414975,0.578677992330057,2
"17","Scyliorhinidae",0.869772222,NA,1
"18","Somniosidae",4.1988,NA,1
"19","Sphyrnidae",32.8005,NA,1
"20","Squalidae",2.2427883,NA,1
"21","Triakidae",3.151,NA,1
"22","Urotrygonidae",2.705,NA,1
